Site,County,Plot,Treatment,Infection,Year
Edgewood,San Mateo ,EWV,Control,0,2023
Edgewood,San Mateo ,EWV,Control,0,2023
Edgewood,San Mateo ,EWV,Control,0,2023
Edgewood,San Mateo ,EWV,Control,0,2023
Edgewood,San Mateo ,EWV,Control,0,2023
Edgewood,San Mateo ,EWV,Control,0,2023
Edgewood,San Mateo ,EWV,Control,0,2023
Edgewood,San Mateo ,EWV,Control,0,2023
Edgewood,San Mateo ,EWV,Control,0,2023
San Pedro,Marin,SPA,Permethrin,1,2023
San Pedro,Marin,SPA,Permethrin,1,2023
San Pedro,Marin,SPA,Permethrin,1,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPA,Permethrin,0,2023
San Pedro,Marin,SPC,Control,1,2023
San Pedro,Marin,SPC,Control,1,2023
San Pedro,Marin,SPC,Control,1,2023
San Pedro,Marin,SPC,Control,1,2023
San Pedro,Marin,SPC,Control,1,2023
San Pedro,Marin,SPC,Control,1,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
San Pedro,Marin,SPC,Control,0,2023
Filoli,San Mateo ,FLA,Deltamethrin,1,2024
Filoli,San Mateo ,FLA,Deltamethrin,1,2024
Filoli,San Mateo ,FLA,Deltamethrin,1,2024
Filoli,San Mateo ,FLA,Deltamethrin,1,2024
Filoli,San Mateo ,FLA,Deltamethrin,1,2024
Filoli,San Mateo ,FLA,Deltamethrin,1,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLA,Deltamethrin,0,2024
Filoli,San Mateo ,FLV,Control,1,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Filoli,San Mateo ,FLV,Control,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,1,2024
Edgewood,San Mateo ,EWA,Deltamethrin,1,2024
Edgewood,San Mateo ,EWA,Deltamethrin,1,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWA,Deltamethrin,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
Edgewood,San Mateo ,EWV,Control,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPA,Permethrin,0,2024
San Pedro,Marin,SPC,Control,1,2024
San Pedro,Marin,SPC,Control,1,2024
San Pedro,Marin,SPC,Control,1,2024
San Pedro,Marin,SPC,Control,1,2024
San Pedro,Marin,SPC,Control,1,2024
San Pedro,Marin,SPC,Control,1,2024
San Pedro,Marin,SPC,Control,1,2024
San Pedro,Marin,SPC,Control,1,2024
San Pedro,Marin,SPC,Control,1,2024
San Pedro,Marin,SPC,Control,1,2024
San Pedro,Marin,SPC,Control,1,2024
San Pedro,Marin,SPC,Control,1,2024
San Pedro,Marin,SPC,Control,1,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
San Pedro,Marin,SPC,Control,0,2024
