Site,County,Plot,Type,Treatment,Infection,Year,Species
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Filoli,San Mateo,FLV,Control,Control,0,2023,NEFU
Filoli,San Mateo,FLV,Control,Control,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PECA
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,1,2023,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PECA
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2023,NEFU
Edgewood,San Mateo,EWC,Control,Control,0,2023,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2023,PETR
Edgewood,San Mateo,EWC,Control,Control,1,2023,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2023,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2023,NEFU
Edgewood,San Mateo,EWC,Control,Control,0,2023,PECA
Edgewood,San Mateo,EWC,Control,Control,0,2023,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2023,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2023,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2023,NEFU
Edgewood,San Mateo,EWC,Control,Control,0,2023,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2023,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2023,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2023,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2023,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2023,NEFU
Edgewood,San Mateo,EWC,Control,Control,0,2023,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2023,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2023,PETR
Edgewood,San Mateo,EWC,Control,Control,1,2023,NEFU
Edgewood,San Mateo,EWC,Control,Control,0,2023,NEFU
Edgewood,San Mateo,EWC,Control,Control,0,2023,NEFU
Edgewood,San Mateo,EWC,Control,Control,0,2023,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,1,2023,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2023,NEFU
San Pedro,Marin,SPC,Control,Control,0,2023,PEMA
San Pedro,Marin,SPC,Control,Control,1,2023,PEMA
San Pedro,Marin,SPC,Control,Control,0,2023,PEMA
San Pedro,Marin,SPC,Control,Control,0,2023,PEMA
San Pedro,Marin,SPC,Control,Control,0,2023,PEMA
San Pedro,Marin,SPC,Control,Control,0,2023,NEFU
San Pedro,Marin,SPC,Control,Control,0,2023,PEMA
San Pedro,Marin,SPC,Control,Control,0,2023,NEFU
San Pedro,Marin,SPC,Control,Control,0,2023,NEFU
San Pedro,Marin,SPC,Control,Control,0,2023,PEMA
San Pedro,Marin,SPC,Control,Control,0,2023,PEMA
San Pedro,Marin,SPC,Control,Control,0,2023,PEMA
San Pedro,Marin,SPC,Control,Control,0,2023,PEMA
San Pedro,Marin,SPC,Control,Control,0,2023,PEMA
San Pedro,Marin,SPC,Control,Control,0,2023,PEMA
San Pedro,Marin,SPC,Control,Control,0,2023,PEMA
San Pedro,Marin,SPC,Control,Control,0,2023,PEMA
San Pedro,Marin,SPC,Control,Control,1,2023,PEMA
San Pedro,Marin,SPC,Control,Control,0,2023,PEMA
San Pedro,Marin,SPC,Control,Control,0,2023,PEMA
San Pedro,Marin,SPC,Control,Control,0,2023,NEFU
San Pedro,Marin,SPC,Control,Control,0,2023,NEFU
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PECA
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PECA
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PECA
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PECA
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PECA
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PECA
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PECA
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PECA
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLA,Deltamethrin,Acaricide,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PECA
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PEMA
Filoli,San Mateo,FLC,Control,Control,0,2024,PEMA
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PEMA
Filoli,San Mateo,FLC,Control,Control,0,2024,PEMA
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PECA
Filoli,San Mateo,FLC,Control,Control,0,2024,PECA
Filoli,San Mateo,FLC,Control,Control,0,2024,NEFU
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,1,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Filoli,San Mateo,FLC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PECA
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PECA
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PECA
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,NEFU
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWA,Deltamethrin,Acaricide,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PECA
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,NEFU
Edgewood,San Mateo,EWC,Control,Control,1,2024,NEFU
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,NEFU
Edgewood,San Mateo,EWC,Control,Control,1,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
Edgewood,San Mateo,EWC,Control,Control,0,2024,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,1,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,1,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,1,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,1,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,1,2024,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,1,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,1,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,1,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,1,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,1,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
